"Ne"	"alpha"	"l"	"gamma_2"	"v"	"P_1"	"P_2"	"frac"
"1"	100	0	10	20	0.911611767187249	0.911611767187249	0.00441941164063754	0.00482452098005269
"2"	100	0	10	40	0.91156805215707	0.91156805215707	0.00221079869607325	0.00241940234665002
"3"	100	0	10	60	0.911553479712247	0.911553479712247	0.00147410867146255	0.00161452807145959
"4"	100	0	10	80	0.911546192904625	0.911546192904625	0.00110567258869218	0.0012114943610996
"5"	100	0	10	100	0.911541819433849	0.911541819433849	0.00088458180566151	0.000969482913317529
"6"	100	0	20	20	0.910182181958535	0.910182181958535	0.00449089090207324	0.00490983175882519
"7"	100	0	20	40	0.910159944080755	0.910159944080755	0.00224600139798113	0.00246162512323685
"8"	100	0	20	60	0.910152531941226	0.910152531941226	0.00149745780097957	0.00164257973765021
"9"	100	0	20	80	0.91014882055583	0.91014882055583	0.00112313974305213	0.00123249676494354
"10"	100	0	20	100	0.910146600436079	0.910146600436079	0.000898533995639207	0.000986267267866684
"11"	100	0	30	20	0.909845288126918	0.909845288126918	0.00450773559365412	0.00492997286246378
"12"	100	0	30	40	0.909830395122424	0.909830395122424	0.00225424012193939	0.00247152515767952
"13"	100	0	30	60	0.909825429502657	0.909825429502657	0.00150290950828904	0.00164914163639433
"14"	100	0	30	80	0.909822949750951	0.909822949750951	0.00112721312811312	0.00123740372859757
"15"	100	0	30	100	0.909821461471515	0.909821461471515	0.000901785385284848	0.000990185974056554
"16"	100	0	40	20	0.909701570966664	0.909701570966664	0.0045149214516668	0.00493856924383819
"17"	100	0	40	40	0.909690379442263	0.909690379442263	0.00225774051394342	0.00247573350340569
"18"	100	0	40	60	0.909686647913784	0.909686647913785	0.00150522253477026	0.00165192708976791
"19"	100	0	40	80	0.909684786638101	0.909684786638101	0.00112894016702374	0.00123948523589311
"20"	100	0	40	100	0.909683663892391	0.909683663892391	0.000903163361076091	0.000991847602057053
"21"	100	0	50	20	0.909623063014689	0.909623063014689	0.00451884684926555	0.00494326624838594
"22"	100	0	50	40	0.909614099883794	0.909614099883794	0.00225964750290514	0.00247802671080396
"23"	100	0	50	60	0.90961111269582	0.90961111269582	0.00150648145506967	0.00165344349043509
"24"	100	0	50	80	0.909609618982863	0.909609618982863	0.00112987976271422	0.00124061794209044
"25"	100	0	50	100	0.909608722633385	0.909608722633385	0.000903912773666152	0.000992751488025262
"26"	100	1	10	20	0.911761874989915	2.47842573666683	0.0119928045896105	0.00481557794038909
"27"	100	1	10	40	0.911643152095641	2.47810301438071	0.00600447035195846	0.00241715400354532
"28"	100	1	10	60	0.911603556598405	2.47799538266008	0.00400477409664941	0.00161352693139331
"29"	100	1	10	80	0.91158375483396	2.47794155588362	0.00300425340719284	0.0012109306845568
"30"	100	1	10	100	0.911571866924453	2.47790924119523	0.00240372587263818	0.000969122003776717
"31"	100	1	20	20	0.910258579069967	2.47433935468484	0.0121971236887101	0.0049052663392609
"32"	100	1	20	40	0.910198148634764	2.47417508773094	0.00610266851820254	0.00246047786495954
"33"	100	1	20	60	0.910178002959686	2.47412032610846	0.00406935837250978	0.00164206896590406
"34"	100	1	20	80	0.910167932689509	2.47409295227603	0.00305236095228771	0.00123220908195723
"35"	100	1	20	100	0.910161885658493	2.4740765147415	0.00244205313717545	0.000986083112337514
"36"	100	1	30	20	0.909896457688136	2.47335500671291	0.0122463410873066	0.00492691279643243
"37"	100	1	30	40	0.909855983004743	2.47324498511653	0.00612592108356279	0.00247075621813738
"38"	100	1	30	60	0.909842490353126	2.47320830828683	0.00408455866953698	0.0016487992695653
"39"	100	1	30	80	0.909835745022695	2.47318997257769	0.00306364819851695	0.0012372109919648
"40"	100	1	30	100	0.90983169428809	2.47317896153942	0.00245102866919623	0.000990062601798458
"41"	100	1	40	20	0.909740024834012	2.47292977812818	0.0122676025165435	0.00493626889038526
"42"	100	1	40	40	0.909709612438072	2.47284710866493	0.0061358679948528	0.0024751553571055
"43"	100	1	40	60	0.909699471476332	2.47281954267291	0.00409103809643559	0.00165166967600618
"44"	100	1	40	80	0.909694398159266	2.47280575196732	0.00306845095614656	0.00123934041257968
"45"	100	1	40	100	0.909691355291731	2.47279748059579	0.00245484347863252	0.000991754842428223
"46"	100	1	50	20	0.90965386717699	2.47269557733471	0.0122793125562168	0.00494142319351799
"47"	100	1	50	40	0.909629503668737	2.47262935045295	0.00614131195015244	0.00247756359363984
"48"	100	1	50	60	0.909621380030911	2.47260726811587	0.00409457600571965	0.00165323735492751
"49"	100	1	50	80	0.90961732013954	2.47259623218693	0.00307106995340149	0.00124050188437938
"50"	100	1	50	100	0.9096148827449	2.47258960666137	0.00245692221797677	0.000992677183765599
"51"	100	2	10	20	0.912169156377994	6.74006906819124	0.0324493515369704	0.00479132717342578
"52"	100	2	10	40	0.911847096060531	6.73768934643827	0.0162841688123095	0.00241105014337701
"53"	100	2	10	60	0.91173958337136	6.73689492914664	0.0108693528297335	0.00161080802107538
"54"	100	2	10	80	0.911685802130738	6.73649753654261	0.00815698202985049	0.00120939953371799
"55"	100	2	10	100	0.911653518992261	6.73625899462136	0.00652797104309295	0.000968141374825368
"56"	100	2	20	20	0.910466044646671	6.72748468006575	0.033078570943245	0.00489287204558114
"57"	100	2	20	40	0.910301966808926	6.72627229971807	0.0165695949803146	0.00245736074478368
"58"	100	2	20	60	0.91024723148888	6.72586785736765	0.0110531373593834	0.00164068086415658
"59"	100	2	20	80	0.910219854807772	6.72566556953514	0.00829238161744386	0.00123142759096447
"60"	100	2	20	100	0.910203428360215	6.72554419359264	0.00663511905338015	0.000985582639029899
"61"	100	2	30	20	0.910035451295982	6.72430300164168	0.0332376548644485	0.00491860227765665
"62"	100	2	30	40	0.909925515113221	6.72349067701996	0.0166391355477672	0.00246866692637606
"63"	100	2	30	60	0.909888856971655	6.72321980795545	0.0110972715162534	0.00164786887598169
"64"	100	2	30	80	0.90987052137915	6.72308432523382	0.00832464717121036	0.00123668717876699
"65"	100	2	30	100	0.909859519428697	6.72300303120473	0.00666053067725924	0.000989727141039513
"66"	100	2	40	20	0.909844507582532	6.72289210783126	0.0333081995549695	0.00493001954346369
"67"	100	2	40	40	0.909761870860279	6.7222815004547	0.0166693649618988	0.00247358458234853
"68"	100	2	40	60	0.909734316405188	6.72207789904026	0.0111163033315065	0.00165097025236415
"69"	100	2	40	80	0.909720534588329	6.72197606442234	0.00833850043135386	0.0012389466125251
"70"	100	2	40	100	0.909712264239649	6.72191495435199	0.0066714114457866	0.000991502684679532
"71"	100	2	50	20	0.909737556466207	6.7221018400329	0.0333477129448877	0.00493641654539307
"72"	100	2	50	40	0.909671362239899	6.72161272718128	0.0166860842937343	0.00247630518630588
"73"	100	2	50	60	0.909649290526321	6.72144963805145	0.0111267743479867	0.00165267702383509
"74"	100	2	50	80	0.909638251537998	6.72136807034746	0.0083461003572899	0.0012401864545186
"75"	100	2	50	100	0.909631629137869	6.7213191370614	0.00667736961869253	0.000992475191100754
"76"	100	3	10	20	0.913270519340958	18.3435287370816	0.0871004093053039	0.00472585111520075
"77"	100	3	10	40	0.912400047005489	18.3260448328469	0.0439873022585187	0.00239451417041662
"78"	100	3	10	60	0.912108726383553	18.3201935017385	0.0294223903574858	0.00160343358305169
"79"	100	3	10	80	0.91196284517681	18.3172633993741	0.0221034190476696	0.00120524439401402
"80"	100	3	10	100	0.911875244547843	18.3155038937065	0.0177003302948118	0.000965479360756752
"81"	100	3	20	20	0.911028545934187	18.2984974974391	0.0893519712874287	0.00485929425512188
"82"	100	3	20	40	0.910583793168868	18.2895643993496	0.0448993130959521	0.00244890244951502
"83"	100	3	20	60	0.91043524411811	18.2865807119057	0.0299826035213666	0.00163691206723883
"84"	100	3	20	80	0.910360916829863	18.2850878084132	0.022505613934681	0.00122930487997449
"85"	100	3	20	100	0.910316297490735	18.2841916050297	0.0180134531815801	0.000984223109963378
"86"	100	3	30	20	0.910412626764635	18.2861264302173	0.0899705246485161	0.00489606279665892
"87"	100	3	30	40	0.910114362774361	18.2801356378278	0.0451350321339956	0.0024629940232195
"88"	100	3	30	60	0.910014809595319	18.2781360587744	0.0301233477402216	0.0016453419777034
"89"	100	3	30	80	0.909965008680486	18.2771357806607	0.0226050142815873	0.00123526417859617
"90"	100	3	30	100	0.90993512152229	18.2765354810412	0.0180900144214645	0.000988815782315473
"91"	100	3	40	20	0.910128143152611	18.280412424124	0.0902562249531837	0.00491306150458043
"92"	100	3	40	40	0.909903834667465	18.2759070677634	0.0452407463856065	0.00246931834427252
"93"	100	3	40	60	0.90982898757368	18.2744037236976	0.0301855533248345	0.00164907023413665
"94"	100	3	40	80	0.909791555882267	18.2736518880776	0.0226485629388754	0.00123787664066355
"95"	100	3	40	100	0.909769085742906	18.2732005632638	0.0181233635992384	0.00099081748656925
"96"	100	3	50	20	0.909964813020674	18.2771318507283	0.0904202536229674	0.00492282548644829
"97"	100	3	50	40	0.909785084848552	18.273521913891	0.0453003752324162	0.0024728868765386
"98"	100	3	50	60	0.90972512607533	18.2723176097376	0.0302203218908344	0.00165115471983866
"99"	100	3	50	80	0.90969513753499	18.2717152738033	0.0226727706173043	0.00123932927202881
"100"	100	3	50	100	0.90967714372934	18.2713538585556	0.0181418306463211	0.000991926237585218
"101"	100	4	10	20	0.916221743667304	50.0240122243765	0.228706890438388	0.00455113463444335
"102"	100	4	10	40	0.913892517807253	49.8968408014084	0.117532730793397	0.00234997906587241
"103"	100	4	10	60	0.913107439680032	49.8539769880306	0.079069550751894	0.00158351144648227
"104"	100	4	10	80	0.912713276484551	49.8324564067462	0.0595711703299756	0.00119400179192851
"105"	100	4	10	100	0.912476264035	49.8195159654658	0.047786340676784	0.000958270017965213
"106"	100	4	20	20	0.912546742594597	49.8233639644368	0.23873930343537	0.0047688628293926
"107"	100	4	20	40	0.911347178710558	49.7578699955218	0.121007000940562	0.00242601694799874
"108"	100	4	20	60	0.910945121165211	49.7359183973389	0.0810371939300883	0.00162669904188788
"109"	100	4	20	80	0.910743678278218	49.7249199883718	0.0609153755596559	0.0012235483268357
"110"	100	4	20	100	0.910622680307903	49.7183137230348	0.0487983631010939	0.0009805343540255
"111"	100	4	30	20	0.9114330505168	49.7625584372826	0.241779579793084	0.00483517209467946
"112"	100	4	30	40	0.910626492806474	49.7185218784038	0.121990703868511	0.00244762137361929
"113"	100	4	30	60	0.910356655596976	49.7037892659551	0.0815726794531525	0.00163848722326455
"114"	100	4	30	80	0.910221549626212	49.696412729893	0.0612717162906406	0.00123140208336886
"115"	100	4	30	100	0.910140430211429	49.6919837599141	0.0490616627323018	0.000986341608131235
"116"	100	4	40	20	0.910896419658811	49.7332593851857	0.243244532397929	0.00486717784019195
"117"	100	4	40	40	0.9102890544192	49.7000983667085	0.122451291660893	0.00245774839907904
"118"	100	4	40	60	0.910086041689979	49.6890142472598	0.0818189297647399	0.0016439132026126
"119"	100	4	40	80	0.909984431541534	49.6834665211301	0.0614335439001765	0.00123497170202103
"120"	100	4	40	100	0.909923433919928	49.680136163834	0.0491801386931019	0.000988956662784496
"121"	100	4	50	20	0.910580811209637	49.7160277477259	0.244106114270915	0.00488601801879076
"122"	100	4	50	40	0.910093777480719	49.6894366071233	0.122717835650524	0.00246361228546151
"123"	100	4	50	60	0.909931074297678	49.6805533143247	0.0819599453136583	0.00164702182315488
"124"	100	4	50	80	0.909849657847335	49.6761081267538	0.0615255238298809	0.00123700142757312
"125"	100	4	50	100	0.909800785612888	49.6734397931649	0.0492471023997929	0.000990435261538245
"126"	100	5	10	20	0.923925337248616	137.122678075981	0.564524051329804	0.00410004737265142
"127"	100	5	10	40	0.917870560734383	136.224069565843	0.304727238418337	0.00223196311365153
"128"	100	5	10	60	0.915787275518149	135.91488262559	0.208304607949773	0.00153026543223966
"129"	100	5	10	80	0.914733542602336	135.758494794704	0.158183303848407	0.00116382555887445
"130"	100	5	10	100	0.914097448269042	135.664090025213	0.12749069077364	0.000938870363695757
"131"	100	5	20	20	0.916593021916932	136.034465994069	0.618934655425377	0.00452922980682272
"132"	100	5	20	40	0.913402231800052	135.56091075279	0.321306208744674	0.00236459351289234
"133"	100	5	20	60	0.91232221127836	135.40062149527	0.216875626788448	0.00159917142987277
"134"	100	5	20	80	0.911779133463347	135.320021601105	0.163664218768394	0.0012079994560082
"135"	100	5	20	100	0.911452311481185	135.271516918268	0.131416421843084	0.00097055816001405
"136"	100	5	30	20	0.914170933132762	135.674996145984	0.636908147829652	0.0046724323244493
"137"	100	5	30	40	0.912009652399059	135.354233644587	0.326473136449736	0.00240618687944043
"138"	100	5	30	60	0.911281911001447	135.246227244758	0.21944886429698	0.00161995917047146
"139"	100	5	30	80	0.910916671168128	135.192020847265	0.165264228191396	0.00122094816026539
"140"	100	5	30	100	0.91069709200744	135.159432410354	0.132537266922226	0.000979638830289619
"141"	100	5	40	20	0.912964573304087	135.495956472795	0.645860131489062	0.00474402463253701
"142"	100	5	40	40	0.911331137117523	135.253533048155	0.328990651360542	0.00242649747462783
"143"	100	5	40	60	0.910782536968924	135.172113567017	0.220684092259321	0.00162995444421412
"144"	100	5	40	80	0.910507470449912	135.131290075967	0.166023362832616	0.00122710021812602
"145"	100	5	40	100	0.910342184383008	135.106759448622	0.133063996539542	0.000983911344675019
"146"	100	5	50	20	0.912242319988649	135.388764576579	0.65121972629988	0.0047869729597293
"147"	100	5	50	40	0.910929654886367	135.193947801906	0.330480282516777	0.00243852925400955
"148"	100	5	50	60	0.910489464615718	135.128617773232	0.221409022155738	0.00163582547708282
"149"	100	5	50	80	0.910268878894776	135.095879949534	0.166465989413026	0.00123068979957041
"150"	100	5	50	100	0.910136362645887	135.076212794404	0.133369463081721	0.000986390615627667
"151"	1000	0	10	20	0.92768548505114	0.92768548505114	0.00361572574744299	0.00388244501941809
"152"	1000	0	10	40	0.927333800017472	0.927333800017472	0.00181665499956321	0.00195517850715566
"153"	1000	0	10	60	0.92721635403074	0.92721635403074	0.00121306076615433	0.0013065729573203
"154"	1000	0	10	80	0.927157590479186	0.927157590479186	0.00091053011901018	0.000981102678565544
"155"	1000	0	10	100	0.927122317289931	0.927122317289931	0.00072877682710069	0.000785445888592947
"156"	1000	0	20	20	0.916901530600489	0.916901530600489	0.00415492346997557	0.00451104104597883
"157"	1000	0	20	40	0.916699302739908	0.916699302739908	0.00208251743150231	0.00226660713760509
"158"	1000	0	20	60	0.916631828082918	0.916631828082918	0.00138946953195136	0.00151354825379473
"159"	1000	0	20	80	0.916598079947046	0.916598079947046	0.00104252400066192	0.00113609183832642
"160"	1000	0	20	100	0.916577830105036	0.916577830105036	0.000834221698949636	0.000909320623496535
"161"	1000	0	30	20	0.913945627542428	0.913945627542428	0.0043027186228786	0.00468578967862798
"162"	1000	0	30	40	0.91380517848012	0.91380517848012	0.002154870537997	0.0023525813601881
"163"	1000	0	30	60	0.913758332136225	0.913758332136225	0.00143736113106291	0.00157055058457658
"164"	1000	0	30	80	0.91373490349591	0.913734903495911	0.00107831370630112	0.00117872554312119
"165"	1000	0	30	100	0.913720840693024	0.913720840693024	0.000862791593069758	0.000943370909572396
"166"	1000	0	40	20	0.912622689784984	0.912622689784984	0.00436886551075079	0.00476434650408728
"167"	1000	0	40	40	0.912515318468937	0.912515318468937	0.00218711703827658	0.0023910694378591
"168"	1000	0	40	60	0.912479511169959	0.912479511169959	0.00145867481383402	0.00159603224397922
"169"	1000	0	40	80	0.912461605227852	0.912461605227852	0.00109422993465184	0.0011977701772954
