Ne	alpha	l	Q	u01	u10	v	P_0	P_1	frac
100	0	1	0.2	1e-09	1e-09	0.08475169	0.983332187	0.016667813	0.016667813
100	0	1	0.2	1.5e-09	5e-10	0.12753543	0.975127343	0.024872657	0.024872657
100	0	1	0.2	5e-10	1.5e-09	0.042240469	0.991622679	0.008377321	0.008377321
100	0	1	0.4	1e-09	1e-09	0.076069671	0.970470647	0.029529353	0.029529353
100	0	1	0.4	1.5e-09	5e-10	0.115044259	0.956006764	0.043993236	0.043993236
100	0	1	0.4	5e-10	1.5e-09	0.037725045	0.985134305	0.014865695	0.014865695
100	0	1	0.6	1e-09	1e-09	0.066374873	0.961700357	0.038299643	0.038299643
100	0	1	0.6	1.5e-09	5e-10	0.100991507	0.942867061	0.057132939	0.057132939
100	0	1	0.6	5e-10	1.5e-09	0.032720138	0.980745915	0.019254085	0.019254085
100	0	1	0.8	1e-09	1e-09	0.056710407	0.956600631	0.043399369	0.043399369
100	0	1	0.8	1.5e-09	5e-10	0.086864267	0.935023869	0.064976131	0.064976131
100	0	1	0.8	5e-10	1.5e-09	0.027772379	0.978265003	0.021734997	0.021734997
100	0	1	1	1e-09	1e-09	0.047666424	0.954502289	0.045497711	0.045497711
100	0	1	1	1.5e-09	5e-10	0.073526182	0.931509652	0.068490348	0.068490348
100	0	1	1	5e-10	1.5e-09	0.023182742	0.97734252	0.02265748	0.02265748
100	0	1	1.2	1e-09	1e-09	0.039545884	0.954694896	0.045305104	0.045305104
100	0	1	1.2	1.5e-09	5e-10	0.061441358	0.931333151	0.068666849	0.068666849
100	0	1	1.2	5e-10	1.5e-09	0.019098261	0.97759555	0.02240445	0.02240445
100	0	1	1.4	1e-09	1e-09	0.032467491	0.956521793	0.043478207	0.043478207
100	0	1	1.4	1.5e-09	5e-10	0.050812148	0.933587387	0.066412613	0.066412613
100	0	1	1.4	5e-10	1.5e-09	0.015569321	0.978667927	0.021332073	0.021332073
100	0	1	1.6	1e-09	1e-09	0.026434206	0.959421527	0.040578473	0.040578473
100	0	1	1.6	1.5e-09	5e-10	0.041671575	0.937493098	0.062506902	0.062506902
100	0	1	1.6	5e-10	1.5e-09	0.012587429	0.980257721	0.019742279	0.019742279
100	0	1	1.8	1e-09	1e-09	0.021380496	0.962941307	0.037058693	0.037058693
100	0	1	1.8	1.5e-09	5e-10	0.033948356	0.942411992	0.057588008	0.057588008
100	0	1	1.8	5e-10	1.5e-09	0.010110719	0.982126	0.017874	0.017874
100	0	1	2	1e-09	1e-09	0.017204913	0.966734822	0.033265178	0.033265178
100	0	1	2	1.5e-09	5e-10	0.027512985	0.947843966	0.052156034	0.052156034
100	0	1	2	5e-10	1.5e-09	0.008081067	0.984094926	0.015905074	0.015905074
100	0	2	0.2	1e-09	1e-09	0.088145878	0.982676228	0.017323772	0.017323772
100	0	2	0.2	1.5e-09	5e-10	0.132361629	0.974210385	0.025789615	0.025789615
100	0	2	0.2	5e-10	1.5e-09	0.044026938	0.99127147	0.00872853	0.00872853
100	0	2	0.4	1e-09	1e-09	0.084607825	0.967264734	0.032735266	0.032735266
100	0	2	0.4	1.5e-09	5e-10	0.127229781	0.951572648	0.048427352	0.048427352
100	0	2	0.4	5e-10	1.5e-09	0.042202528	0.983399227	0.016600773	0.016600773
100	0	2	0.6	1e-09	1e-09	0.080394153	0.953983197	0.046016803	0.046016803
100	0	2	0.6	1.5e-09	5e-10	0.121114588	0.932254247	0.067745753	0.067745753
100	0	2	0.6	5e-10	1.5e-09	0.040030296	0.976545165	0.023454835	0.023454835
100	0	2	0.8	1e-09	1e-09	0.075772386	0.94284661	0.05715339	0.05715339
100	0	2	0.8	1.5e-09	5e-10	0.114405744	0.916149764	0.083850236	0.083850236
100	0	2	0.8	5e-10	1.5e-09	0.037647495	0.970762577	0.029237423	0.029237423
100	0	2	1	1e-09	1e-09	0.070936896	0.933761834	0.066238166	0.066238166
100	0	2	1	1.5e-09	5e-10	0.107381167	0.903031431	0.096968569	0.096968569
100	0	2	1	5e-10	1.5e-09	0.035155948	0.966038018	0.033961982	0.033961982
100	0	2	1.2	1e-09	1e-09	0.066030419	0.926580965	0.073419035	0.073419035
100	0	2	1.2	1.5e-09	5e-10	0.100242498	0.892625222	0.107374778	0.107374778
100	0	2	1.2	5e-10	1.5e-09	0.032631385	0.962317882	0.037682118	0.037682118
100	0	2	1.4	1e-09	1e-09	0.061158247	0.921131313	0.078868687	0.078868687
100	0	2	1.4	1.5e-09	5e-10	0.093137708	0.884648246	0.115351754	0.115351754
100	0	2	1.4	5e-10	1.5e-09	0.030129956	0.95952536	0.04047464	0.04047464
100	0	2	1.6	1e-09	1e-09	0.056397818	0.917232171	0.082767829	0.082767829
100	0	2	1.6	1.5e-09	5e-10	0.086175819	0.878826281	0.121173719	0.121173719
100	0	2	1.6	5e-10	1.5e-09	0.027692857	0.95757138	0.04242862	0.04242862
100	0	2	1.8	1e-09	1e-09	0.051805362	0.914704156	0.085295844	0.085295844
100	0	2	1.8	1.5e-09	5e-10	0.079436727	0.874901272	0.125098728	0.125098728
100	0	2	1.8	5e-10	1.5e-09	0.025349695	0.95636174	0.04363826	0.04363826
100	0	2	2	1e-09	1e-09	0.047420648	0.913374389	0.086625611	0.086625611
100	0	2	2	1.5e-09	5e-10	0.072977968	0.872633902	0.127366098	0.127366098
100	0	2	2	5e-10	1.5e-09	0.023121004	0.955801805	0.044198195	0.044198195
100	0	3	0.2	1e-09	1e-09	0.089089842	0.982493954	0.017506046	0.017506046
100	0	3	0.2	1.5e-09	5e-10	0.133711968	0.973954135	0.026045865	0.026045865
100	0	3	0.2	5e-10	1.5e-09	0.044520789	0.991174426	0.008825574	0.008825574
100	0	3	0.4	1e-09	1e-09	0.086983874	0.966376337	0.033623663	0.033623663
100	0	3	0.4	1.5e-09	5e-10	0.130626545	0.950343942	0.049656058	0.049656058
100	0	3	0.4	5e-10	1.5e-09	0.043446877	0.982918111	0.017081889	0.017081889
100	0	3	0.6	1e-09	1e-09	0.084467721	0.951763998	0.048236002	0.048236002
100	0	3	0.6	1.5e-09	5e-10	0.126936021	0.929228462	0.070771538	0.070771538
100	0	3	0.6	5e-10	1.5e-09	0.042165087	0.975325197	0.024674803	0.024674803
100	0	3	0.8	1e-09	1e-09	0.081656635	0.938680413	0.061319587	0.061319587
100	0	3	0.8	1.5e-09	5e-10	0.122818148	0.910535749	0.089464251	0.089464251
100	0	3	0.8	5e-10	1.5e-09	0.040730611	0.968443755	0.031556245	0.031556245
100	0	3	1	1e-09	1e-09	0.078639595	0.927093725	0.072906275	0.072906275
100	0	3	1	1.5e-09	5e-10	0.11840638	0.894129377	0.105870623	0.105870623
100	0	3	1	5e-10	1.5e-09	0.039187555	0.9622902	0.0377098	0.0377098
100	0	3	1.2	1e-09	1e-09	0.075486046	0.916940541	0.083059459	0.083059459
100	0	3	1.2	1.5e-09	5e-10	0.113802337	0.879845792	0.120154208	0.120154208
100	0	3	1.2	5e-10	1.5e-09	0.037571377	0.956859371	0.043140629	0.043140629
100	0	3	1.4	1e-09	1e-09	0.072250702	0.908140678	0.091859322	0.091859322
100	0	3	1.4	1.5e-09	5e-10	0.109084386	0.867514759	0.132485241	0.132485241
100	0	3	1.4	5e-10	1.5e-09	0.035910718	0.95213158	0.04786842	0.04786842
100	0	3	1.6	1e-09	1e-09	0.068977006	0.900606208	0.099393792	0.099393792
100	0	3	1.6	1.5e-09	5e-10	0.10431364	0.856970124	0.143029876	0.143029876
100	0	3	1.6	5e-10	1.5e-09	0.034228782	0.948077537	0.051922463	0.051922463
100	0	3	1.8	1e-09	1e-09	0.065699662	0.894246905	0.105753095	0.105753095
100	0	3	1.8	1.5e-09	5e-10	0.099538199	0.848055033	0.151944967	0.151944967
100	0	3	1.8	5e-10	1.5e-09	0.032544394	0.944661797	0.055338203	0.055338203
100	0	3	2	1e-09	1e-09	0.062446485	0.888973464	0.111026536	0.111026536
100	0	3	2	1.5e-09	5e-10	0.094796206	0.840624058	0.159375942	0.159375942
100	0	3	2	5e-10	1.5e-09	0.030872811	0.941845184	0.058154816	0.058154816
100	0	4	0.2	1e-09	1e-09	0.089520984	0.982410725	0.017589275	0.017589275
100	0	4	0.2	1.5e-09	5e-10	0.134331917	0.973836534	0.026163466	0.026163466
100	0	4	0.2	5e-10	1.5e-09	0.044745126	0.99113035	0.00886965	0.00886965
100	0	4	0.4	1e-09	1e-09	0.088048084	0.965978961	0.034021039	0.034021039
100	0	4	0.4	1.5e-09	5e-10	0.13215713	0.949791322	0.050208678	0.050208678
100	0	4	0.4	5e-10	1.5e-09	0.044000731	0.98270412	0.01729588	0.01729588
100	0	4	0.6	1e-09	1e-09	0.086296837	0.950770888	0.049229112	0.049229112
100	0	4	0.6	1.5e-09	5e-10	0.129563088	0.927869423	0.072130577	0.072130577
100	0	4	0.6	5e-10	1.5e-09	0.043118854	0.974781133	0.025218867	0.025218867
100	0	4	0.8	1e-09	1e-09	0.084331259	0.936798858	0.063201142	0.063201142
100	0	4	0.8	1.5e-09	5e-10	0.12665358	0.907998946	0.092001054	0.092001054
100	0	4	0.8	5e-10	1.5e-09	0.042128138	0.967396315	0.032603685	0.032603685
100	0	4	1	1e-09	1e-09	0.082202427	0.924041542	0.075958458	0.075958458
100	0	4	1	1.5e-09	5e-10	0.123509013	0.890068516	0.109931484	0.109931484
100	0	4	1	5e-10	1.5e-09	0.041052331	0.960566506	0.039433494	0.039433494
100	0	4	1.2	1e-09	1e-09	0.079951439	0.912457274	0.087542726	0.087542726
100	0	4	1.2	1.5e-09	5e-10	0.120192348	0.873949543	0.126050457	0.126050457
100	0	4	1.2	5e-10	1.5e-09	0.039911214	0.95429549	0.04570451	0.04570451
100	0	4	1.4	1e-09	1e-09	0.077611621	0.901992825	0.098007175	0.098007175
100	0	4	1.4	1.5e-09	5e-10	0.116753378	0.859509163	0.140490837	0.140490837
100	0	4	1.4	5e-10	1.5e-09	0.038721351	0.948577705	0.051422295	0.051422295
100	0	4	1.6	1e-09	1e-09	0.075210194	0.892589119	0.107410881	0.107410881
100	0	4	1.6	1.5e-09	5e-10	0.113231838	0.84661751	0.15338249	0.15338249
100	0	4	1.6	5e-10	1.5e-09	0.037496663	0.943400978	0.056599022	0.056599022
100	0	4	1.8	1e-09	1e-09	0.072769533	0.8841849	0.1158151	0.1158151
100	0	4	1.8	1.5e-09	5e-10	0.109659691	0.835151566	0.164848434	0.164848434
100	0	4	1.8	5e-10	1.5e-09	0.036248896	0.938748524	0.061251476	0.061251476
100	0	4	2	1e-09	1e-09	0.070308134	0.876719041	0.123280959	0.123280959
100	0	4	2	1.5e-09	5e-10	0.106062843	0.824996955	0.175003045	0.175003045
100	0	4	2	5e-10	1.5e-09	0.034987984	0.934600431	0.065399569	0.065399569
100	0	5	0.2	1e-09	1e-09	0.089765824	0.982363467	0.017636533	0.017636533
100	0	5	0.2	1.5e-09	5e-10	0.134685315	0.973769509	0.026230491	0.026230491
100	0	5	0.2	5e-10	1.5e-09	0.044872008	0.991105422	0.008894578	0.008894578
100	0	5	0.4	1e-09	1e-09	0.088641825	0.965757401	0.034242599	0.034242599
100	0	5	0.4	1.5e-09	5e-10	0.133015842	0.949481564	0.050518436	0.050518436
100	0	5	0.4	5e-10	1.5e-09	0.044307884	0.982585487	0.017414513	0.017414513
100	0	5	0.6	1e-09	1e-09	0.087313183	0.950219962	0.049780038	0.049780038
100	0	5	0.6	1.5e-09	5e-10	0.131031714	0.927111402	0.072888598	0.072888598
100	0	5	0.6	5e-10	1.5e-09	0.043645378	0.974481044	0.025518956	0.025518956
100	0	5	0.8	1e-09	1e-09	0.085820874	0.935754205	0.064245795	0.064245795
100	0	5	0.8	1.5e-09	5e-10	0.128802137	0.906584031	0.093415969	0.093415969
100	0	5	0.8	5e-10	1.5e-09	0.042901759	0.966817464	0.033182536	0.033182536
100	0	5	1	1e-09	1e-09	0.084198322	0.922340479	0.077659521	0.077659521
100	0	5	1	1.5e-09	5e-10	0.126381923	0.887798339	0.112201661	0.112201661
100	0	5	1	5e-10	1.5e-09	0.042091673	0.959608474	0.040391526	0.040391526
100	0	5	1.2	1e-09	1e-09	0.082472982	0.909944952	0.090055048	0.090055048
100	0	5	1.2	1.5e-09	5e-10	0.123814866	0.870641907	0.129358093	0.129358093
100	0	5	1.2	5e-10	1.5e-09	0.041227593	0.952859096	0.047140904	0.047140904
100	0	5	1.4	1e-09	1e-09	0.080667543	0.898525426	0.101474574	0.101474574
100	0	5	1.4	1.5e-09	5e-10	0.121136244	0.854999928	0.145000072	0.145000072
100	0	5	1.4	5e-10	1.5e-09	0.04032018	0.946567896	0.053432104	0.053432104
100	0	5	1.6	1e-09	1e-09	0.078800872	0.888035274	0.111964726	0.111964726
100	0	5	1.6	1.5e-09	5e-10	0.118374693	0.840760394	0.159239606	0.159239606
100	0	5	1.6	5e-10	1.5e-09	0.039378589	0.94072869	0.05927131	0.05927131
100	0	5	1.8	1e-09	1e-09	0.076888738	0.87842607	0.12157393	0.12157393
100	0	5	1.8	1.5e-09	5e-10	0.115553604	0.827816976	0.172183024	0.172183024
100	0	5	1.8	5e-10	1.5e-09	0.0384107	0.935331848	0.064668152	0.064668152
100	0	5	2	1e-09	1e-09	0.074944393	0.86964932	0.13035068	0.13035068
100	0	5	2	1.5e-09	5e-10	0.112692208	0.816070441	0.183929559	0.183929559
100	0	5	2	5e-10	1.5e-09	0.037423323	0.930365279	0.069634721	0.069634721
100	0	6	0.2	1e-09	1e-09	0.089923097	0.982333113	0.017666887	0.017666887
100	0	6	0.2	1.5e-09	5e-10	0.134912963	0.973726339	0.026273661	0.026273661
100	0	6	0.2	5e-10	1.5e-09	0.044953261	0.991089459	0.008910541	0.008910541
100	0	6	0.4	1e-09	1e-09	0.089017735	0.965617178	0.034382822	0.034382822
100	0	6	0.4	1.5e-09	5e-10	0.133562055	0.949284637	0.050715363	0.050715363
100	0	6	0.4	5e-10	1.5e-09	0.044501351	0.982510777	0.017489223	0.017489223
100	0	6	0.6	1e-09	1e-09	0.087953305	0.949873302	0.050126698	0.050126698
100	0	6	0.6	1.5e-09	5e-10	0.131961925	0.926631921	0.073368079	0.073368079
100	0	6	0.6	5e-10	1.5e-09	0.043974935	0.974293309	0.025706691	0.025706691
100	0	6	0.8	1e-09	1e-09	0.086758479	0.935097866	0.064902134	0.064902134
100	0	6	0.8	1.5e-09	5e-10	0.130162674	0.905690339	0.094309661	0.094309661
100	0	6	0.8	5e-10	1.5e-09	0.043385483	0.966455876	0.033544124	0.033544124
100	0	6	1	1e-09	1e-09	0.085457033	0.921270921	0.078729079	0.078729079
100	0	6	1	1.5e-09	5e-10	0.128204639	0.886364021	0.113635979	0.113635979
100	0	6	1	5e-10	1.5e-09	0.042742882	0.959009183	0.040990817	0.040990817
100	0	6	1.2	1e-09	1e-09	0.084068798	0.908362107	0.091637893	0.091637893
100	0	6	1.2	1.5e-09	5e-10	0.126120545	0.868549653	0.131450347	0.131450347
100	0	6	1.2	5e-10	1.5e-09	0.042055684	0.95195772	0.04804228	0.04804228
100	0	6	1.4	1e-09	1e-09	0.082610397	0.896334797	0.103665203	0.103665203
